age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
61,management,married,secondary,no,1491,no,no,cellular,13,nov,634,1,93,2,failure,0
30,management,single,tertiary,no,158,no,no,cellular,3,feb,6,4,-1,0,,0
32,technician,married,secondary,no,3050,no,no,cellular,12,aug,200,10,-1,0,,0
41,management,married,tertiary,no,2495,no,no,cellular,5,aug,202,1,96,1,failure,0
41,blue-collar,married,primary,no,-238,yes,no,,29,may,167,5,0,0,,0
34,services,married,secondary,no,998,yes,no,cellular,15,jul,275,3,-1,0,,0
38,blue-collar,married,primary,no,-470,yes,yes,cellular,19,nov,218,2,-1,0,,0
52,technician,married,secondary,no,-17,yes,no,cellular,7,sep,212,1,295,1,failure,1
52,management,single,tertiary,no,734,no,no,cellular,7,aug,63,2,0,0,,0
35,blue-collar,single,tertiary,no,1800,no,no,cellular,15,jan,78,4,92,2,failure,0
32,technician,single,tertiary,no,134,no,no,cellular,5,aug,172,3,-1,0,,0
32,technician,married,secondary,no,2569,no,no,cellular,6,aug,267,3,-1,0,,0
47,management,married,tertiary,no,3513,no,no,cellular,17,nov,431,2,1,0,,1
29,technician,single,secondary,no,598,no,no,cellular,25,may,129,1,-1,0,,0
25,admin.,single,secondary,no,160,yes,no,,3,jun,547,1,-2,0,,0
41,technician,single,secondary,no,-8,no,no,,9,jun,227,2,-2,0,,0
33,technician,single,secondary,no,423,no,no,cellular,21,aug,289,2,-1,0,,0
26,self-employed,single,secondary,no,1072,no,no,cellular,5,feb,100,1,0,0,,0
54,technician,divorced,secondary,no,1208,yes,no,cellular,11,may,102,1,350,1,failure,0
31,blue-collar,married,secondary,no,1296,yes,no,,2,jun,527,1,-1,0,,0
28,services,single,secondary,no,244,yes,no,,9,may,323,1,-3,0,,0
59,management,single,secondary,no,174,yes,no,,9,may,483,1,-1,0,,0
42,entrepreneur,married,primary,yes,125,yes,yes,cellular,6,feb,139,1,-1,0,,0
41,management,married,tertiary,no,328,no,no,cellular,15,mar,205,2,318,4,failure,0
56,services,married,,no,23,no,no,cellular,29,jul,78,2,-1,0,,0
27,self-employed,single,tertiary,no,193,no,no,cellular,13,may,270,1,183,2,success,0
40,housemaid,married,secondary,no,1752,yes,yes,cellular,19,nov,131,1,-1,0,,0
27,technician,single,secondary,no,19,no,no,,19,may,191,1,-1,0,,0
45,management,married,tertiary,no,-396,no,no,cellular,21,aug,511,6,-1,0,,0
64,retired,married,,no,641,no,no,telephone,16,nov,166,1,-1,0,,1
45,admin.,married,secondary,no,-32,yes,no,,14,may,294,2,0,0,,0
37,blue-collar,single,primary,no,-32,no,no,,5,jun,40,1,-1,0,,0
54,,divorced,tertiary,no,2290,yes,no,telephone,19,nov,89,1,190,1,failure,0
75,retired,married,,no,7847,no,no,cellular,15,feb,258,1,97,4,other,0
50,admin.,single,secondary,no,138,no,yes,cellular,4,feb,343,2,190,3,failure,0
49,management,single,tertiary,no,580,no,no,,19,may,318,2,-1,0,,0
40,self-employed,married,tertiary,no,1644,no,no,,17,jun,282,1,-2,0,,0
52,management,married,tertiary,no,2,yes,no,telephone,13,may,178,3,257,6,other,0
31,blue-collar,single,primary,no,827,yes,no,,2,jun,82,1,-2,0,,0
52,services,married,secondary,no,641,no,no,cellular,29,aug,175,10,-2,0,,0
40,admin.,married,secondary,no,1891,no,no,cellular,21,nov,497,2,-3,0,,0
27,self-employed,single,tertiary,no,4532,no,no,cellular,12,aug,188,2,-1,0,,0
47,management,married,tertiary,yes,-351,no,yes,cellular,29,jan,244,4,164,2,failure,0
41,blue-collar,married,primary,no,483,yes,yes,,16,jun,162,29,-2,0,,0
